temps,id,vitesse_med,vitesse_max,distance
"2022-03-18 14:50:11",94374,0,0,0
"2022-03-18 14:50:00",94373,11,43,1633
"2022-03-18 14:49:59",94372,11,43,1633
"2022-03-18 14:48:00",94371,11,43,1633
"2022-03-18 14:40:00",94370,0,22,37
"2022-03-18 14:34:44",94369,12,39,426
"2022-03-18 14:33:45",94368,12,39,426
"2022-03-18 14:30:00",94367,14,39,324
"2022-03-18 14:22:54",94366,3,26,95
"2022-03-18 14:16:58",94365,3,26,95
"2022-03-18 14:11:44",94364,4,29,161
"2022-03-18 11:18:11",94363,4,29,161
"2022-03-18 11:15:14",94362,10,37,1864
"2022-03-18 11:11:37",94361,10,37,1864
"2022-03-18 11:10:00",94360,9,37,1588
"2022-03-18 11:00:00",94359,0,0,0
"2022-03-18 10:58:14",94358,16,38,4364
"2022-03-18 10:54:42",94357,16,38,4364
"2022-03-18 10:50:00",94356,18,38,3651
"2022-03-18 10:40:00",94355,15,36,988
"2022-03-18 10:34:50",94354,17,49,6748
"2022-03-18 10:04:54",94353,17,49,6748
"2022-03-18 10:00:00",94352,18,49,5939
"2022-03-18 09:50:00",94351,22,49,4245
"2022-03-18 09:40:00",94350,16,30,881
"2022-03-18 09:36:15",94349,11,35,3552
"2022-03-18 09:35:42",94348,11,35,3552
"2022-03-18 09:30:00",94347,11,35,2709
"2022-03-18 09:20:00",94346,3,21,252
"2022-03-18 09:13:22",94345,28,74,24740
"2022-03-17 19:45:27",94344,28,74,24740
"2022-03-17 19:40:00",94343,30,74,24216
"2022-03-17 19:30:00",94342,36,74,23722
"2022-03-17 19:20:00",94341,39,74,19814
"2022-03-17 19:10:00",94340,32,74,11458
"2022-03-17 19:00:00",94339,20,74,4845
"2022-03-17 18:50:00",94338,37,74,3495
"2022-03-17 18:41:03",94337,46,84,23298
"2022-03-17 18:33:36",94336,46,84,23298
"2022-03-17 18:30:00",94335,52,84,23298
"2022-03-17 18:20:00",94334,54,84,16571
"2022-03-17 18:10:00",94333,40,80,6476
"2022-03-17 18:00:00",94332,4,28,105
"2022-03-17 17:58:24",94331,14,52,1898
"2022-03-17 17:47:28",94330,14,52,1898
"2022-03-17 17:40:00",94329,21,52,700
"2022-03-17 17:37:51",94328,0,0,0
"2022-03-17 17:31:30",94327,0,0,0
"2022-03-17 17:30:00",94326,0,0,0
"2022-03-17 17:23:46",94325,11,39,1863
"2022-03-17 17:20:31",94324,11,39,1863
"2022-03-17 17:20:00",94323,12,39,1863
"2022-03-17 17:10:00",94322,3,20,114
"2022-03-17 17:08:04",94321,13,42,964
"2022-03-17 17:06:05",94320,13,42,964
"2022-03-17 17:00:00",94319,7,29,212
"2022-03-17 16:50:00",94318,0,0,0
"2022-03-17 16:47:50",94317,0,0,0
"2022-03-17 16:24:12",94316,0,0,0
"2022-03-17 16:23:57",94315,17,52,2435
"2022-03-17 16:09:59",94314,17,52,2435
"2022-03-17 16:00:48",94313,3,30,463
"2022-03-17 15:52:14",94312,3,30,463
"2022-03-17 15:50:00",94311,2,30,274
"2022-03-17 15:43:13",94310,47,118,65402
"2022-03-17 15:32:07",94309,47,118,65402
"2022-03-17 15:30:00",94308,48,118,65388
"2022-03-17 15:20:00",94307,49,118,59588
"2022-03-17 15:10:00",94306,46,118,48699
"2022-03-17 15:00:00",94305,37,118,34351
"2022-03-17 14:50:00",94304,25,105,20003
"2022-03-17 14:40:00",94303,20,104,13512
"2022-03-17 14:30:00",94302,17,104,10779
"2022-03-17 14:20:00",94301,16,88,9104
"2022-03-17 14:10:00",94300,14,88,7771
"2022-03-17 14:00:00",94299,6,67,2561
"2022-03-17 13:50:00",94298,0,0,0
"2022-03-17 13:40:00",94297,0,0,0
"2022-03-17 13:30:00",94296,0,0,0
"2022-03-17 13:26:59",94295,0,0,0
"2022-03-17 13:20:33",94294,0,0,0
"2022-03-17 13:20:00",94293,0,0,0
"2022-03-17 13:10:00",94292,0,0,0
"2022-03-17 13:00:00",94291,0,0,0
"2022-03-17 12:50:00",94290,0,0,0
"2022-03-17 12:44:30",94289,8,27,204
"2022-03-17 12:43:59",94288,8,27,204
"2022-03-17 12:42:24",94287,15,34,502
"2022-03-17 12:34:33",94286,15,34,502
"2022-03-17 12:32:01",94285,64,115,77848
"2022-03-17 12:24:11",94284,64,115,77848
"2022-03-17 12:20:00",94283,67,115,76834
"2022-03-17 12:10:00",94282,74,115,73814
"2022-03-17 12:00:00",94281,73,115,62568
"2022-03-17 11:50:00",94280,68,115,48921
"2022-03-17 11:40:00",94279,60,109,34354
"2022-03-17 11:30:00",94278,53,87,22895
"2022-03-17 11:20:00",94277,42,78,12278
"2022-03-17 11:10:00",94276,24,70,3477
"2022-03-17 11:00:00",94275,3,21,25
"2022-03-17 10:59:19",94274,18,44,1898
"2022-03-17 10:40:09",94273,18,44,1898
"2022-03-17 10:40:00",94272,19,44,1897
